Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,team_win_pct,PTS_norm,AST_norm,TRB_norm,STL_norm,BLK_norm,FG%_norm,team_win_pct_norm,3P%_norm,3PA_norm,TOV_norm,eFG%_norm,2P%_norm,2PA_norm,MP_norm,FT%_norm,GS_norm,mvp_score
82.0,Derrick White,31.0,BOS,SG,77.0,77.0,34.1,5.7,14.4,0.394,2.7,8.3,0.327,3.0,6.1,0.487,0.489,2.4,2.6,0.902,1.1,3.3,4.4,5.4,1.1,1.3,1.7,1.5,16.5,"DPOY-6,DEF1",0.683,0.4925373134328358,0.5046728971962617,0.34108527131782945,0.40740740740740744,0.41935483870967744,0.47298919567827136,0.830715532286213,0.327,0.7345132743362832,0.425,0.5332606324972737,0.487,0.38125,0.8928571428571429,0.902,0.9390243902439024,0.6371674161585421
60.0,Amen Thompson,23.0,HOU,PG,79.0,79.0,37.4,7.1,13.2,0.534,0.3,1.5,0.216,6.7,11.7,0.573,0.545,3.8,4.9,0.779,3.0,4.8,7.8,5.3,1.5,0.6,2.4,2.2,18.3,DPOY-8,0.634,0.5462686567164179,0.4953271028037383,0.6046511627906976,0.5555555555555555,0.1935483870967742,0.6410564225690277,0.7452006980802792,0.216,0.1327433628318584,0.6,0.5943293347873501,0.573,0.73125,0.9835164835164835,0.779,0.9634146341463414,0.6347141011792632
61.0,Evan Mobley,24.0,CLE,PF,65.0,63.0,31.9,7.2,13.2,0.546,1.0,3.2,0.297,6.3,10.0,0.626,0.582,2.8,4.6,0.606,2.4,6.6,9.0,3.6,0.7,1.7,1.9,2.4,18.2,,0.634,0.5432835820895522,0.33644859813084116,0.6976744186046512,0.25925925925925924,0.5483870967741935,0.6554621848739497,0.7452006980802792,0.297,0.2831858407079646,0.475,0.6346782988004361,0.626,0.625,0.8324175824175823,0.606,0.7682926829268293,0.6323345016266779
119.0,Devin Vassell,25.0,SAS,SG,67.0,65.0,30.5,4.9,11.3,0.437,2.5,6.4,0.384,2.4,4.8,0.508,0.547,1.6,1.9,0.815,0.6,3.4,4.0,2.5,0.9,0.4,0.9,1.6,13.9,,0.756,0.41492537313432837,0.23364485981308414,0.31007751937984496,0.3333333333333333,0.12903225806451613,0.524609843937575,0.9581151832460733,0.384,0.5663716814159292,0.225,0.5965103598691385,0.508,0.3,0.7939560439560439,0.815,0.7926829268292683,0.6241805871812547
75.0,Payton Pritchard,28.0,BOS,PG,79.0,50.0,32.4,6.4,13.8,0.464,2.7,7.1,0.377,3.7,6.7,0.556,0.561,1.5,1.7,0.89,0.9,3.1,3.9,5.2,0.7,0.1,1.4,1.5,17.0,,0.683,0.5074626865671642,0.485981308411215,0.3023255813953488,0.25925925925925924,0.03225806451612903,0.5570228091236495,0.830715532286213,0.377,0.6283185840707964,0.35,0.6117775354416576,0.556,0.41875,0.8461538461538461,0.89,0.6097560975609756,0.6147264711174034
31.0,Julius Randle,31.0,MIN,PF,79.0,79.0,33.0,7.3,15.3,0.481,1.4,4.4,0.315,6.0,10.9,0.547,0.526,5.0,6.3,0.802,1.7,5.1,6.7,5.0,1.1,0.2,2.7,2.8,21.1,,0.598,0.6298507462686568,0.4672897196261683,0.5193798449612403,0.40740740740740744,0.06451612903225806,0.5774309723889556,0.6823734729493891,0.315,0.3893805309734513,0.675,0.5736095965103599,0.547,0.68125,0.8626373626373627,0.802,0.9634146341463414,0.6077727987112107
137.0,Tobias Harris,33.0,DET,PF,63.0,63.0,27.7,4.9,10.5,0.469,1.3,3.5,0.368,3.6,6.9,0.521,0.531,2.2,2.5,0.866,0.9,4.3,5.1,2.5,0.9,0.4,1.0,1.7,13.3,,0.732,0.3970149253731344,0.23364485981308414,0.3953488372093023,0.3333333333333333,0.12903225806451613,0.5630252100840336,0.9162303664921465,0.368,0.30973451327433627,0.25,0.579062159214831,0.521,0.43125,0.717032967032967,0.866,0.7682926829268293,0.6038469017923582
167.0,Dylan Harper,19.0,SAS,SG,69.0,4.0,22.6,4.8,9.5,0.505,0.9,2.6,0.343,3.9,6.9,0.565,0.551,1.3,1.7,0.756,0.8,2.6,3.4,3.9,0.8,0.3,1.4,2.0,11.8,"ROY-4,6MOY-11",0.756,0.3522388059701493,0.36448598130841126,0.2635658914728682,0.2962962962962963,0.0967741935483871,0.6062424969987995,0.9581151832460733,0.343,0.23008849557522124,0.35,0.6008724100327154,0.565,0.43125,0.576923076923077,0.756,0.04878048780487805,0.6026858795014116
138.0,Keldon Johnson,26.0,SAS,SF,82.0,0.0,23.3,5.0,9.7,0.519,1.2,3.3,0.363,3.8,6.4,0.601,0.582,1.9,2.4,0.794,1.7,3.7,5.4,1.4,0.6,0.1,0.9,2.0,13.2,6MOY-1,0.756,0.3940298507462686,0.1308411214953271,0.4186046511627907,0.2222222222222222,0.03225806451612903,0.6230492196878752,0.9581151832460733,0.363,0.29203539823008845,0.225,0.6346782988004361,0.601,0.4,0.5961538461538461,0.794,0.0,0.6024870720633647
183.0,Julian Champagnie,24.0,SAS,SF,82.0,68.0,27.6,3.7,8.4,0.437,2.4,6.2,0.381,1.3,2.2,0.599,0.578,1.4,1.6,0.844,0.9,4.9,5.8,1.5,0.8,0.5,0.8,1.6,11.1,,0.756,0.33134328358208953,0.14018691588785048,0.44961240310077516,0.2962962962962963,0.16129032258064516,0.524609843937575,0.9581151832460733,0.381,0.5486725663716814,0.2,0.6303162486368592,0.599,0.1375,0.7142857142857143,0.844,0.8292682926829268,0.6018951109008548
219.0,Ausar Thompson,23.0,DET,SF,73.0,72.0,26.0,4.2,7.9,0.525,0.1,0.3,0.25,4.1,7.6,0.537,0.53,1.5,2.6,0.571,2.1,3.7,5.7,3.1,2.0,0.9,1.5,2.7,9.9,"DPOY-3,DEF1",0.732,0.2955223880597015,0.28971962616822433,0.4418604651162791,0.7407407407407407,0.2903225806451613,0.6302521008403362,0.9162303664921465,0.25,0.026548672566371678,0.375,0.5779716466739367,0.537,0.475,0.6703296703296703,0.571,0.8780487804878049,0.5992695909200109
26.0,Paolo Banchero,23.0,ORL,PF,72.0,72.0,34.8,7.3,16.0,0.459,1.2,3.8,0.305,6.2,12.2,0.507,0.496,6.3,8.2,0.775,1.2,7.2,8.4,5.2,0.7,0.6,3.1,2.0,22.2,,0.549,0.6626865671641791,0.485981308411215,0.6511627906976745,0.25925925925925924,0.1935483870967742,0.5510204081632654,0.5968586387434556,0.305,0.33628318584070793,0.775,0.5408942202835333,0.507,0.7625,0.912087912087912,0.775,0.8780487804878049,0.5979500839966403
